Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,84.000000,84.500000,81.949997,83.260002,83.260002,1417300
2020-01-03,81.610001,83.519997,81.300003,82.959999,82.959999,551600
2020-01-06,82.370003,86.959999,82.275002,86.940002,86.940002,1038100
2020-01-07,86.970001,87.199997,85.410004,85.730003,85.730003,970000
2020-01-08,86.230003,87.419998,86.000000,86.220001,86.220001,949200
2020-01-09,86.000000,86.440002,85.175003,85.370003,85.370003,983600
2020-01-10,85.919998,86.194000,84.779999,85.160004,85.160004,1118800
2020-01-13,89.040001,98.974998,88.629997,95.970001,95.970001,4249000
2020-01-14,95.720001,98.949997,94.339996,96.870003,96.870003,1878200
2020-01-15,96.739998,96.860001,93.150002,94.000000,94.000000,1565200
2020-01-16,94.050003,97.339996,94.040001,96.910004,96.910004,1053400
2020-01-17,97.550003,97.870003,95.199997,95.599998,95.599998,1229600
2020-01-21,96.889999,101.275002,96.519997,98.250000,98.250000,1809200
2020-01-22,99.949997,102.800003,99.660004,101.419998,101.419998,1705400
2020-01-23,101.220001,103.239998,100.599998,102.800003,102.800003,1389000
2020-01-24,103.220001,103.529999,97.250000,98.099998,98.099998,1330700
2020-01-27,95.279999,97.309998,93.559998,95.970001,95.970001,1448100
2020-01-28,96.599998,99.980003,96.510002,99.419998,99.419998,887500
2020-01-29,100.559998,104.169998,99.230003,103.480003,103.480003,1433500
2020-01-30,101.839996,105.167000,101.190002,104.750000,104.750000,1508800
2020-01-31,103.800003,104.610001,99.459999,101.709999,101.709999,1002000
2020-02-03,102.690002,103.300003,101.389999,101.989998,101.989998,891400
2020-02-04,103.919998,107.449997,103.419998,107.150002,107.150002,1588700
2020-02-05,108.940002,109.730003,106.019997,107.059998,107.059998,1377800
2020-02-06,107.389999,110.760002,106.959999,108.739998,108.739998,1066600
2020-02-07,107.919998,108.068001,105.510002,105.839996,105.839996,1060300
2020-02-10,106.000000,109.930000,105.849998,109.699997,109.699997,1030800
2020-02-11,110.500000,112.089996,109.849998,110.430000,110.430000,1050300
2020-02-12,108.190002,111.269997,106.000000,110.000000,110.000000,1339200
2020-02-13,109.620003,113.080002,108.940002,112.019997,112.019997,1091700
2020-02-14,112.599998,113.160004,110.349998,111.769997,111.769997,1090800
2020-02-18,111.000000,117.870003,110.800003,117.239998,117.239998,1862200
