Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-02-13,28.200001,30.27,27.4,28.85,28.85,6879000,PTON
2020-02-14,28.889999,28.889999,27.5,27.66,27.66,2947500,PTON
2020-02-18,27.5,27.879999,26.84,27.08,27.08,2668400,PTON
2020-02-19,27.299999,27.690001,26.799999,27.1,27.1,3331200,PTON
2020-02-20,27.1,27.799999,26.6,26.98,26.98,3733700,PTON
2020-02-21,26.809999,26.9,25.32,25.49,25.49,5795900,PTON
2020-02-24,24.700001,27.07,24.52,26.5,26.5,26599200,PTON
2020-02-25,26.65,28.02,26.02,27.110001,27.110001,10467000,PTON
2020-02-26,27.950001,29.639999,27.27,29.190001,29.190001,12866400,PTON
2020-02-27,28.9,29,26.690001,28.719999,28.719999,7628100,PTON
2020-02-28,28,28.290001,25.924999,26.690001,26.690001,9202400,PTON
2020-03-02,27.200001,29.32,26.33,27.92,27.92,6230300,PTON
2020-03-03,27.34,27.5,26.18,26.684999,26.684999,7938600,PTON
2020-03-04,27.01,27.450001,25.780001,27.25,27.25,5606200,PTON
2020-03-05,26.51,27.18,25.844999,27.1,27.1,5464800,PTON
2020-03-06,25.950001,26.141001,24.360001,24.98,24.98,7334400,PTON
2020-03-09,23,24.725,22.530001,23.209999,23.209999,5288100,PTON
2020-03-10,24.1,24.33,22.309999,22.969999,22.969999,6196700,PTON
2020-03-11,22.5,23.379999,21.639999,22,22,6232700,PTON
2020-03-12,20.74,20.99,18.01,19.51,19.51,8665900,PTON
2020-03-13,20.52,20.6,17.83,19.719999,19.719999,8873000,PTON
2020-03-16,18.639999,22.940001,17.700001,22.25,22.25,12514500,PTON
2020-03-17,24.219999,27,22.690001,25.450001,25.450001,15370300,PTON
2020-03-18,24.5,27.379999,24.43,25.790001,25.790001,11057400,PTON
2020-03-19,26,26.58,23.181,24.99,24.99,6849800,PTON
2020-03-20,25,25.4,21.780001,23.01,23.01,7400000,PTON
2020-03-23,23.41,24.76,23.07,23.34,23.34,5643600,PTON
2020-03-24,24.209999,25,23.620001,24.57,24.57,5242700,PTON
2020-03-25,24.57,25.141001,23.67,24.52,24.52,4290200,PTON
2020-03-26,24.559999,26.049999,24.309999,25.75,25.75,4692900,PTON
2020-03-27,25.6,26.18,24.58,25.98,25.98,4871200,PTON
2020-03-30,26.799999,28.67,26.26,27.700001,27.700001,12153800,PTON
2020-03-31,27.889999,28.565001,26.540001,26.549999,26.549999,5728500,PTON
2020-04-01,26.440001,29.34,26.087,27.959999,27.959999,11805500,PTON
2020-04-02,28.049999,28.48,25.85,26.74,26.74,6040000,PTON
2020-04-03,27.07,29.110001,26.950001,28.75,28.75,7756100,PTON
2020-04-06,29.190001,29.450001,28.02,28.370001,28.370001,7596600,PTON
2020-04-07,28.799999,28.959999,26.059999,27.58,27.58,6166800,PTON
2020-04-08,27.299999,27.74,26.91,27.5,27.5,3959300,PTON
2020-04-09,27.620001,29.030001,27.32,28.450001,28.450001,5549100,PTON
2020-04-13,28.530001,32.279999,28.459999,31.99,31.99,9420300,PTON
2020-04-14,32.330002,32.48,30.57,31.879999,31.879999,5330400,PTON
2020-04-15,32.130001,36.029999,31.700001,35.610001,35.610001,13312700,PTON
2020-04-16,34.5,38.080002,34.110001,36.349998,36.349998,11378200,PTON
2020-04-17,33.900002,35.049999,32.106998,33.490002,33.490002,9704700,PTON
2020-04-20,31.860001,32.869999,30.969999,31.07,31.07,11465200,PTON
2020-04-21,31.27,32.32,29.51,31.389999,31.389999,9477800,PTON
2020-04-22,31.799999,32.02,30.42,31.18,31.18,5476100,PTON
2020-04-23,31.16,31.75,29.33,29.889999,29.889999,6794100,PTON
2020-04-24,30.25,33.02,30.01,31.74,31.74,14815100,PTON
2020-04-27,32.439999,33.736,31.73,31.780001,31.780001,6948400,PTON
2020-04-28,31.940001,32.169998,29.799999,30,30,7577300,PTON
2020-04-29,29.67,32.200001,29.639999,31.889999,31.889999,6454900,PTON
2020-04-30,32.439999,32.490002,31.200001,31.5,31.5,3339600,PTON
2020-05-01,31.030001,32.66,30.700001,32.049999,32.049999,4531900,PTON
2020-05-04,32.360001,34.169998,32.029999,33.900002,33.900002,8916500,PTON
2020-05-05,34.959999,36.360001,34.25,36.220001,36.220001,16784700,PTON
2020-05-06,36.830002,39.256001,35.209999,38.029999,38.029999,27262600,PTON
2020-05-07,45.689999,45.700001,40.799999,44.119999,44.119999,53226000,PTON
2020-05-08,42.110001,43.27,41.27,43,43,21716300,PTON
2020-05-11,42.509998,44.349998,42.009998,42.799999,42.799999,12684500,PTON
2020-05-12,44.32,47.830002,44.049999,46.169998,46.169998,25236500,PTON
2020-05-13,46.689999,46.799999,42.389999,45.169998,45.169998,15197600,PTON
2020-05-14,45.389999,47.380001,44.811001,45.110001,45.110001,12971100,PTON
2020-05-15,45.25,49.68,45.130001,48.419998,48.419998,15808900,PTON
2020-05-18,47.290001,48.215,43.400002,43.610001,43.610001,16859100,PTON
2020-05-19,45.080002,45.349998,44,44.799999,44.799999,7668000,PTON
2020-05-20,44.849998,45.889999,44.130001,45.110001,45.110001,5450300,PTON
2020-05-21,44.98,45.667999,44.029999,45.299999,45.299999,4292700,PTON
2020-05-22,45.139999,46.869999,44.799999,45.810001,45.810001,6230500,PTON
2020-05-26,44.740002,45.5,41.68,41.700001,41.700001,9621800,PTON
2020-05-27,41,41.369999,38.799999,41.07,41.07,11618100,PTON
2020-05-28,40.849998,42.939999,40.77,42.610001,42.610001,6016700,PTON
2020-05-29,43.040001,44.389999,41.139999,42.189999,42.189999,6718600,PTON
2020-06-01,42.101002,45.91,41.259998,45.849998,45.849998,9712800,PTON
2020-06-02,45.799999,49.299999,45.560001,49.009998,49.009998,15354600,PTON
2020-06-03,48.209999,48.400002,46.259998,47.830002,47.830002,7144800,PTON
2020-06-04,47.400002,49.189999,46.650002,47.880001,47.880001,6268300,PTON
2020-06-05,45.119999,46.880001,44.41,45.900002,45.900002,8244100,PTON
2020-06-08,45.200001,45.41,42.900002,44.779999,44.779999,8705000,PTON
2020-06-09,45.369999,48.049999,45.110001,47.639999,47.639999,7740200,PTON
2020-06-10,48.200001,48.782001,46.529999,47.110001,47.110001,5503400,PTON
2020-06-11,45.93,49.400002,45.509998,45.98,45.98,8274300,PTON
2020-06-12,47.075001,48.25,45.639999,47.099998,47.099998,5839000,PTON
2020-06-15,48.27,51,47.080002,49.939999,49.939999,11490900,PTON
2020-06-16,48.450001,51.450001,47.040001,49.91,49.91,10908200,PTON
2020-06-17,50.119999,51.709999,48.73,49.169998,49.169998,9153300,PTON
2020-06-18,49.720001,51.25,49.25,51.080002,51.080002,8064400,PTON
2020-06-19,51.130001,51.950001,50.389999,50.889999,50.889999,9522200,PTON
2020-06-22,52,55.029999,51.650002,53.029999,53.029999,13253300,PTON
2020-06-23,54.490002,56.599998,53.720001,54.880001,54.880001,12747300,PTON
2020-06-24,55.98,57.27,52.419998,55.549999,55.549999,14527100,PTON
2020-06-25,56.389999,58.299999,55,58.060001,58.060001,10180700,PTON
2020-06-26,58.5,60,56.395,58.43,58.43,15952500,PTON
2020-06-29,58.049999,58.400002,55.68,57.209999,57.209999,6649500,PTON
2020-06-30,56.240002,59.110001,56.18,57.77,57.77,6536600,PTON
2020-07-01,57.540001,61,56.919998,60.25,60.25,8335000,PTON
2020-07-02,60.849998,61.389999,58.91,59.16,59.16,5475500,PTON
2020-07-06,59.25,62.34,59.240002,60.48,60.48,5926700,PTON
2020-07-07,61,62.200001,59.700001,60.82,60.82,6873800,PTON
2020-07-08,61.040001,63.25,61.040001,62.52,62.52,6058400,PTON
2020-07-09,63.881001,65.720001,63.560001,64.489998,64.489998,7527100,PTON
2020-07-10,64.82,68.779999,63.799999,68.470001,68.470001,9163700,PTON
2020-07-13,69.25,69.727997,61.009998,61.580002,61.580002,13147300,PTON
2020-07-14,62.580002,65.080002,60.099998,62.950001,62.950001,9576400,PTON
2020-07-15,61.43,63.720001,60.869999,63.130001,63.130001,5347400,PTON
2020-07-16,62.209999,62.889999,60.650002,61.290001,61.290001,5613700,PTON
2020-07-17,61.549999,61.880001,58.23,58.529999,58.529999,9961500,PTON
2020-07-20,59.721001,64.995003,59.580002,64.709999,64.709999,10351400,PTON
2020-07-21,64.849998,65.309998,61.900002,62.880001,62.880001,6249600,PTON
2020-07-22,62.900002,64.410004,62.881001,64.139999,64.139999,4367400,PTON
2020-07-23,64.309998,65.279999,60.889999,62.310001,62.310001,4732600,PTON
2020-07-24,61.560001,62.337002,59.68,61.82,61.82,4048700,PTON
2020-07-27,62.580002,63.91,61.75,63.68,63.68,4106800,PTON
2020-07-28,64.300003,66.870003,63.93,64.110001,64.110001,5710000,PTON
2020-07-29,64.720001,66.900002,64.599998,66.650002,66.650002,4395300,PTON
2020-07-30,66.169998,66.650002,62.720001,65.279999,65.279999,5413000,PTON
2020-07-31,66.690002,68.940002,65.599998,68.220001,68.220001,7266500,PTON
2020-08-03,69.599998,73.209999,69.099998,72.68,72.68,7897300,PTON
2020-08-04,70.949997,71.5,69.012001,70.010002,70.010002,6039900,PTON
2020-08-05,69.730003,71.739998,69.669998,71.209999,71.209999,4990200,PTON
2020-08-06,71.730003,72.5,69.68,69.720001,69.720001,4523300,PTON
2020-08-07,69.989998,70.68,66.370003,68.300003,68.300003,4748000,PTON
2020-08-10,68.480003,69.57,65.150002,67.120003,67.120003,3933000,PTON
2020-08-11,65.690002,67.199997,64.150002,64.959999,64.959999,4140600,PTON
2020-08-12,65.209999,65.730003,63.759998,64.360001,64.360001,3765800,PTON
2020-08-13,63,66.349998,62.5,65.709999,65.709999,9862700,PTON
2020-08-14,66.639999,67.75,64.080002,64.339996,64.339996,4565300,PTON
2020-08-17,64.879997,65.449997,63.23,65.260002,65.260002,3850300,PTON
2020-08-18,65.849998,70.779999,65.559998,69.82,69.82,7931600,PTON
2020-08-19,69.32,69.760002,67.459999,67.589996,67.589996,4081900,PTON
2020-08-20,67.589996,69.089996,67.099998,68.720001,68.720001,3208200,PTON
