Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,28.900000,30.020000,27.799999,29.740000,29.740000,5916200
2020-01-03,29.490000,31.250000,29.290001,30.600000,30.600000,4974100
2020-01-06,30.610001,31.705000,29.719999,29.750000,29.750000,4028900
2020-01-07,29.440001,30.840000,28.830000,30.400000,30.400000,3072000
2020-01-08,30.070000,30.250000,28.850000,29.650000,29.650000,7474100
2020-01-09,29.379999,29.940001,27.584999,27.870001,27.870001,6567700
2020-01-10,27.850000,28.150000,26.889999,28.010000,28.010000,5938400
2020-01-13,28.299999,28.969999,27.240000,28.530001,28.530001,3619100
2020-01-14,28.799999,30.260000,28.350000,29.690001,29.690001,4819100
2020-01-15,30.959999,31.440001,29.774000,30.860001,30.860001,7822700
2020-01-16,31.100000,31.799999,30.360001,30.830000,30.830000,5701300
2020-01-17,31.000000,31.950001,30.783001,31.700001,31.700001,3831300
2020-01-21,31.690001,33.700001,31.600000,32.000000,32.000000,4914300
2020-01-22,32.320000,33.200001,30.530001,30.680000,30.680000,5374900
2020-01-23,30.690001,31.590000,29.959999,30.059999,30.059999,3268500
2020-01-24,30.080000,30.770000,28.850000,30.500000,30.500000,5259000
2020-01-27,29.670000,31.379999,29.200001,31.250000,31.250000,4228500
2020-01-28,31.559999,31.650000,30.559999,31.379999,31.379999,3737900
2020-01-29,32.360001,32.360001,30.809999,31.500000,31.500000,3508500
2020-01-30,31.250000,32.299999,31.250000,32.259998,32.259998,3785400
2020-01-31,32.250000,32.520000,31.021000,32.360001,32.360001,3366300
2020-02-03,32.869999,33.500000,31.940001,33.369999,33.369999,4807800
2020-02-04,33.910000,34.599998,33.279999,33.470001,33.470001,7687600
2020-02-05,34.040001,34.090000,31.639999,32.700001,32.700001,9397700
2020-02-06,29.940001,30.750000,28.820000,29.000000,29.000000,12108500
2020-02-07,28.590000,28.590000,27.049999,27.860001,27.860001,7796900
2020-02-10,27.830000,29.059999,27.620001,28.600000,28.600000,3770500
2020-02-11,28.750000,29.180000,28.200001,28.650000,28.650000,2413300
2020-02-12,28.840000,29.209999,28.250000,28.340000,28.340000,2460300
2020-02-13,28.200001,30.270000,27.400000,28.850000,28.850000,6879000
2020-02-14,28.889999,28.889999,27.500000,27.660000,27.660000,2947500
2020-02-18,27.500000,27.879999,26.840000,27.080000,27.080000,2668400
2020-02-19,27.299999,27.690001,26.799999,27.100000,27.100000,3331200
2020-02-20,27.100000,27.799999,26.600000,26.980000,26.980000,3733700
2020-02-21,26.809999,26.900000,25.320000,25.490000,25.490000,5795900
2020-02-24,24.700001,27.070000,24.520000,26.500000,26.500000,26599200
2020-02-25,26.650000,28.020000,26.020000,27.110001,27.110001,10467000
2020-02-26,27.950001,29.639999,27.270000,29.190001,29.190001,12866400
2020-02-27,28.900000,29.000000,26.690001,28.719999,28.719999,7628100
2020-02-28,28.000000,28.290001,25.924999,26.690001,26.690001,9202400
2020-03-02,27.200001,29.320000,26.330000,27.920000,27.920000,6230300
2020-03-03,27.340000,27.500000,26.180000,26.684999,26.684999,7938600
2020-03-04,27.010000,27.450001,25.780001,27.250000,27.250000,5606200
2020-03-05,26.510000,27.180000,25.844999,27.100000,27.100000,5464800
2020-03-06,25.950001,26.141001,24.360001,24.980000,24.980000,7334400
2020-03-09,23.000000,24.725000,22.530001,23.209999,23.209999,5288100
2020-03-10,24.100000,24.330000,22.309999,22.969999,22.969999,6196700
2020-03-11,22.500000,23.379999,21.639999,22.000000,22.000000,6232700
2020-03-12,20.740000,20.990000,18.010000,19.510000,19.510000,8665900
2020-03-13,20.520000,20.600000,17.830000,19.719999,19.719999,8873000
2020-03-16,18.639999,22.940001,17.700001,22.250000,22.250000,12514500
2020-03-17,24.219999,27.000000,22.690001,25.450001,25.450001,15370300
2020-03-18,24.500000,27.379999,24.430000,25.790001,25.790001,11057400
2020-03-19,26.000000,26.580000,23.181000,24.990000,24.990000,6849800
2020-03-20,25.000000,25.400000,21.780001,23.010000,23.010000,7400000
2020-03-23,23.410000,24.760000,23.070000,23.340000,23.340000,5643600
2020-03-24,24.209999,25.000000,23.620001,24.570000,24.570000,5242700
2020-03-25,24.570000,25.141001,23.670000,24.520000,24.520000,4290200
2020-03-26,24.559999,26.049999,24.309999,25.750000,25.750000,4692900
2020-03-27,25.600000,26.180000,24.580000,25.980000,25.980000,4871200
2020-03-30,26.799999,28.670000,26.260000,27.700001,27.700001,12153800
2020-03-31,27.889999,28.565001,26.540001,26.549999,26.549999,5728500
2020-04-01,26.440001,29.340000,26.087000,27.959999,27.959999,11805500
2020-04-02,28.049999,28.480000,25.850000,26.740000,26.740000,6040000
2020-04-03,27.070000,29.110001,26.950001,28.750000,28.750000,7756100
2020-04-06,29.190001,29.450001,28.020000,28.370001,28.370001,7596600
2020-04-07,28.799999,28.959999,26.059999,27.580000,27.580000,6166800
2020-04-08,27.299999,27.740000,26.910000,27.500000,27.500000,3959300
2020-04-09,27.620001,29.030001,27.320000,28.450001,28.450001,5549100
2020-04-13,28.530001,32.279999,28.459999,31.990000,31.990000,9420300
2020-04-14,32.330002,32.480000,30.570000,31.879999,31.879999,5330400
2020-04-15,32.130001,36.029999,31.700001,35.610001,35.610001,13312700
